,latitude,longitude,name,zone,total_lines,rail
1,51.5028,-0.2801,Acton Town,3.0,2.0,0.0
2,51.5143,-0.0755,Aldgate,1.0,2.0,0.0
3,51.5154,-0.0726,Aldgate East,1.0,2.0,0.0
4,51.5107,-0.013,All Saints,2.0,1.0,0.0
5,51.5407,-0.2997,Alperton,4.0,1.0,0.0
6,51.6736,-0.607,Amersham,10.0,1.0,1.0
7,51.5322,-0.1058,Angel,1.0,1.0,0.0
8,51.5653,-0.1353,Archway,2.5,1.0,0.0
9,51.6164,-0.1331,Arnos Grove,4.0,1.0,0.0
10,51.5586,-0.1059,Arsenal,2.0,1.0,0.0
11,51.5226,-0.1571,Baker Street,1.0,5.0,0.0
12,51.4431,-0.1525,Balham,3.0,1.0,1.0
13,51.5133,-0.0886,Bank,1.0,4.0,0.0
14,51.5204,-0.0979,Barbican,1.0,3.0,0.0
15,51.5396,0.081,Barking,4.0,2.0,1.0
16,51.5856,0.0887,Barkingside,5.0,1.0,0.0
17,51.4905,-0.2139,Barons Court,2.0,2.0,0.0
18,51.5121,-0.1879,Bayswater,1.0,2.0,0.0
19,51.5148,0.0613,Beckton,3.0,1.0,0.0
20,51.5087,0.055,Beckton Park,3.0,1.0,0.0
21,51.5403,0.127,Becontree,5.0,1.0,0.0
22,51.5504,-0.1642,Belsize Park,2.0,1.0,0.0
23,51.4979,-0.0637,Bermondsey,2.0,1.0,0.0
24,51.527,-0.0549,Bethnal Green,2.0,1.0,0.0
25,51.512,-0.1031,Blackfriars,1.0,2.0,0.0
26,51.5867,-0.0417,Blackhorse Road,3.0,1.0,1.0
27,51.5079,-0.0066,Blackwall,2.0,1.0,0.0
28,51.5142,-0.1494,Bond Street,1.0,2.0,0.0
29,51.5011,-0.0943,Borough,1.0,1.0,0.0
30,51.4956,-0.325,Boston Manor,4.0,1.0,0.0
31,51.6071,-0.1243,Bounds Green,3.5,1.0,0.0
32,51.5273,-0.0208,Bow Church,2.0,3.0,0.0
33,51.5269,-0.0247,Bow Road,2.0,2.0,0.0
34,51.5766,-0.2136,Brent Cross,3.0,1.0,0.0
35,51.4627,-0.1145,Brixton,2.0,1.0,1.0
36,51.5248,-0.0119,Bromley-By-Bow,2.5,2.0,0.0
37,51.6266,0.0471,Buckhurst Hill,5.0,1.0,0.0
38,51.6028,-0.2641,Burnt Oak,4.0,1.0,0.0
39,51.5481,-0.1188,Caledonian Road,2.0,1.0,0.0
40,51.5392,-0.1426,Camden Town,2.0,1.0,0.0
41,51.4982,-0.0502,Canada Water,2.0,2.0,0.0
42,51.5051,-0.0209,Canary Wharf,2.0,2.0,0.0
43,51.5147,0.0082,Canning Town,3.0,2.0,0.0
44,51.5113,-0.0904,Cannon Street,1.0,2.0,0.0
45,51.6078,-0.2947,Canons Park,5.0,1.0,0.0
46,51.6679,-0.561,Chalfont & Latimer,9.0,1.0,1.0
47,51.5441,-0.1538,Chalk Farm,2.0,1.0,0.0
48,51.5185,-0.1111,Chancery Lane,1.0,1.0,0.0
49,51.508,-0.1247,Charing Cross,1.0,2.0,1.0
50,51.7052,-0.611,Chesham,10.0,1.0,0.0
51,51.6177,0.0755,Chigwell,5.0,1.0,0.0
52,51.4946,-0.2678,Chiswick Park,3.0,1.0,0.0
53,51.6543,-0.5183,Chorleywood,8.0,1.0,0.0
54,51.4618,-0.1384,Clapham Common,2.0,1.0,0.0
55,51.4649,-0.1299,Clapham North,2.0,1.0,0.0
56,51.4527,-0.148,Clapham South,2.5,1.0,0.0
57,51.6517,-0.1496,Cockfosters,5.0,1.0,0.0
58,51.5955,-0.2502,Colindale,4.0,1.0,0.0
59,51.418,-0.1778,Colliers Wood,3.0,1.0,0.0
60,51.5129,-0.1243,Covent Garden,1.0,1.0,0.0
61,51.4957,-0.0144,Crossharbour & London Arena,2.0,1.0,0.0
62,51.647,-0.4412,Croxley,7.0,1.0,0.0
63,51.5095,0.0276,Custom House,3.0,1.0,0.0
64,51.4827,-0.0096,Cutty Sark,2.5,1.0,0.0
65,51.5085,0.064,Cyprus,3.0,1.0,0.0
66,51.5443,0.1655,Dagenham East,5.0,1.0,0.0
67,51.5417,0.1469,Dagenham Heathway,5.0,1.0,0.0
68,51.6455,0.0838,Debden,6.0,1.0,0.0
69,51.474,-0.0216,Deptford Bridge,2.5,1.0,0.0
70,51.5223,-0.0173,Devons Road,2.0,1.0,0.0
71,51.552,-0.2387,Dollis Hill,3.0,1.0,0.0
72,51.5152,-0.3017,Ealing Broadway,3.0,2.0,1.0
73,51.5101,-0.2882,Ealing Common,3.0,2.0,0.0
74,51.492,-0.1973,Earl's Court,1.5,2.0,0.0
75,51.5765,-0.397,Eastcote,5.0,2.0,0.0
76,51.5168,-0.2474,East Acton,2.0,1.0,0.0
77,51.5874,-0.165,East Finchley,3.0,1.0,0.0
78,51.5394,0.0518,East Ham,3.5,2.0,0.0
79,51.5093,-0.0021,East India,2.5,1.0,0.0
80,51.4586,-0.2112,East Putney,2.5,1.0,0.0
81,51.6137,-0.275,Edgware,5.0,1.0,0.0
82,51.5199,-0.1679,Edgware Road (B),1.0,1.0,0.0
83,51.5203,-0.17,Edgware Road (C),1.0,3.0,0.0
84,51.4943,-0.1001,Elephant & Castle,1.5,2.0,1.0
85,51.5496,0.1977,Elm Park,6.0,1.0,0.0
86,51.4693,-0.0174,Elverson Road,2.5,1.0,0.0
87,51.5074,-0.1223,Embankment,1.0,4.0,0.0
88,51.6937,0.1139,Epping,6.0,1.0,0.0
89,51.5282,-0.1337,Euston,1.0,2.0,1.0
90,51.526,-0.1359,Euston Square,1.0,3.0,0.0
91,51.596,0.0912,Fairlop,5.0,1.0,0.0
92,51.5203,-0.1053,Farringdon,1.0,3.0,1.0
93,51.6012,-0.1932,Finchley Central,4.0,1.0,0.0
94,51.5472,-0.1803,Finchley Road,2.0,2.0,0.0
95,51.5642,-0.1065,Finsbury Park,2.0,1.0,1.0
96,51.4804,-0.195,Fulham Broadway,2.0,1.0,0.0
97,51.5096,0.0716,Gallions Reach,3.0,1.0,0.0
98,51.5765,0.0663,Gants Hill,4.0,1.0,0.0
99,51.4945,-0.1829,Gloucester Road,1.0,3.0,0.0
100,51.5724,-0.1941,Golders Green,3.0,1.0,0.0
101,51.5018,-0.2267,Goldhawk Road,2.0,1.0,0.0
102,51.5205,-0.1347,Goodge Street,1.0,1.0,0.0
103,51.6132,0.0923,Grange Hill,5.0,1.0,0.0
104,51.5238,-0.1439,Great Portland Street,1.0,3.0,0.0
