branch number, first bus number, second bus number
1,123,4232
2,187,3532
3,239,76466
4,338,8443
5,845,8079
6,1380,4243
7,1761,76540
8,1761,76540
9,3338,7416
10,3362,3542
11,3362,3557
12,3362,3557
13,3433,8218
14,3433,8218
15,3502,3503
16,3502,3509
17,3503,7549
18,3504,3526
19,3504,5646
20,3504,6694
21,3505,6819
22,3506,3508
23,3506,6698
24,3507,6690
25,3507,76542
26,3508,3526
27,3508,4207
28,3508,6525
29,3508,6694
30,3509,3510
31,3509,3547
32,3509,6091
33,3509,7549
34,3509,7568
35,3509,8324
36,3510,3512
37,3510,3516
38,3511,5579
39,3511,5608
40,3511,5610
41,3511,5619
42,3511,8258
43,3511,76951
44,3512,7711
45,3513,7829
46,3514,7541
47,3514,7541
48,3515,5877
49,3516,8218
50,3516,8218
51,3517,3547
52,3517,7711
53,3518,8051
54,3518,8054
55,3518,8056
56,3519,4753
57,3519,5186
58,3519,6001
59,3519,6007
60,3519,6024
61,3519,6041
62,3520,3528
63,3520,3722
64,3520,6132
65,3520,6251
66,3521,3546
67,3521,7829
68,3522,3571
69,3523,5105
70,3523,6091
71,3523,6132
72,3524,6819
73,3524,7240
74,3524,7240
75,3524,76496
76,3525,3528
77,3526,6698
78,3527,4198
79,3527,4259
80,3527,7743
81,3527,8158
82,3527,8159
83,3528,6091
84,3529,5516
85,3529,5517
86,3529,5518
87,3530,8503
88,3531,4729
89,3531,4734
90,3531,4882
91,3531,6000
92,3532,3565
93,3532,5730
94,3532,5736
95,3532,5738
96,3532,5932
97,3533,7744
98,3533,7755
99,3533,8506
100,3534,4561
101,3535,7945
102,3535,7950
103,3535,8079
104,3535,76528
105,3536,3537
106,3536,76526
107,3537,4220
108,3537,4231
109,3537,4601
110,3538,3707
111,3538,8503
112,3539,5849
113,3539,7301
114,3539,95341
115,3540,4219
116,3540,4221
117,3541,4160
118,3541,4165
119,3541,4179
120,3541,4182
121,3541,4579
122,3541,4581
123,3541,78886
124,3543,7646
125,3543,7661
126,3543,8225
127,3544,7760
128,3544,7780
129,3545,3569
130,3545,8016
131,3545,8020
132,3545,8043
133,3546,5105
134,3546,7829
135,3547,7549
136,3548,7614
137,3548,7619
138,3549,4649
139,3549,5693
140,3550,6510
141,3550,6511
142,3551,6410
143,3551,6411
144,3552,3606
145,3552,5901
146,3555,8464
147,3555,8473
148,3556,77196
149,3556,77197
150,3556,77200
151,3558,7912
152,3558,8033
153,3559,7764
154,3561,3574
155,3561,4497
156,3562,5801
157,3562,5809
158,3562,5815
159,3563,8080
160,3564,7901
161,75578,3564
162,3565,5730
163,3565,5932
164,3565,8374
165,3566,8079
166,3567,7861
167,3568,7849
168,3569,8080
169,3570,7861
170,3571,7711
171,3572,4729
172,3572,6000
173,3573,6425
174,3573,6432
175,3573,6527
176,3574,4497
177,3576,4153
178,3576,4179
179,3577,7642
180,3577,7652
181,3578,6746
182,3578,6750
183,3579,4781
184,3581,3582
185,3581,3778
186,76492,3581
187,3581,76582
188,3582,3728
189,3583,5190
190,3584,7442
191,3584,7452
192,3585,3685
193,3585,7435
194,3586,7980
195,3586,7982
196,3586,77445
197,3587,7582
198,3587,7583
199,3587,7588
200,3587,10395
201,3588,4126
202,3588,12673
203,3590,4607
204,3592,3707
205,3593,4207
206,3593,6621
207,3594,4705
208,3595,6448
209,3595,6463
210,3595,6543
211,3597,7760
212,3598,6120
213,3598,6120
214,3598,6128
215,3599,7642
216,3600,6389
217,3600,6675
218,3602,7645
219,3602,7647
220,3602,8225
221,3603,5497
222,3603,5499
223,3604,5475
224,3604,6415
225,3604,6415
226,3606,5862
227,3606,5866
228,3609,7627
229,3610,4231
230,3610,7638
231,3610,76560
232,3612,8114
233,3612,8117
234,3613,76563
235,3614,6284
236,3614,6296
237,3615,7646
238,3616,7619
239,3616,7633
240,3616,76563
241,3617,7571
242,3617,7603
243,3618,7647
244,3619,4728
245,3619,4730
246,3619,4977
247,3619,76779
248,77523,3620
249,3622,4667
250,3625,7635
251,3627,4727
252,3627,6067
253,3628,6283
254,3628,6284
255,6309,3628
256,3630,3631
257,3630,3670
258,3631,77359
259,3651,3655
260,76487,3654
261,3654,77359
262,3654,77426
263,76487,3655
264,3664,3666
265,3664,77426
266,3671,3678
267,3671,77426
268,3675,3693
269,3675,77426
270,3684,3696
271,76470,3684
272,3685,7434
273,3686,3687
274,76470,3686
275,3687,4654
276,3693,3696
277,3718,7281
278,76497,3718
279,3722,4050
280,3726,3727
281,76582,3726
282,3727,3728
283,3729,3753
284,3729,3778
285,3736,3738
286,3736,3762
287,3738,7282
288,76582,3745
289,3753,3762
290,3753,3857
291,3762,3849
292,3763,3769
293,3769,3770
294,3770,3778
295,3784,3797
296,3784,7290
297,3794,3797
298,3794,3800
299,3800,3806
300,3801,3867
301,3806,3830
302,3816,3818
303,3816,3875
304,3816,4001
305,3827,3828
306,3827,3861
307,76582,3828
308,3828,77095
309,3830,3907
310,3838,3901
311,3838,3903
312,76492,3838
313,3842,3851
314,3842,3898
315,3842,77098
316,3846,3847
317,3846,3854
318,3846,3871
319,3846,3890
320,3847,3862
321,3849,3862
322,3851,3858
323,3854,3857
324,3858,3861
325,3867,3870
326,3867,3875
327,3870,3872
328,3871,3895
329,3872,3878
330,3875,3878
331,3878,3880
332,3879,3880
333,3879,3888
334,3880,4001
335,3883,3886
336,3883,4006
337,3886,3900
338,3886,3991
339,3888,3898
340,3890,3899
341,3895,3945
342,3897,3901
343,3897,3926
344,3898,3902
345,3899,3901
346,3900,3902
347,3903,3924
348,3905,3906
349,3905,3914
350,3905,3932
351,3905,77098
352,3906,3908
353,3907,3910
354,3908,4007
355,3909,3910
356,3909,3931
357,3909,3933
358,3914,3918
359,3917,3933
360,3917,3935
361,3917,5719
362,3918,3921
363,3919,3920
364,3919,3921
365,3919,4018
366,3920,4026
367,3921,3927
368,3922,3924
369,3922,76654
370,3923,3930
371,3923,3963
372,3926,3931
373,3927,6277
374,3929,3934
375,3929,6277
376,3930,3932
377,3931,76654
378,3932,3934
379,3932,3937
380,3933,3939
381,3935,76654
382,3937,3944
383,3939,3940
384,3939,76654
385,3940,3941
386,3941,3942
387,3942,3946
388,3943,3944
389,3943,8277
390,3944,3954
391,3945,3946
392,3945,3948
393,3945,3959
394,3948,3950
395,3948,3951
396,3950,3953
397,3951,3995
398,3953,3955
399,3953,3992
400,3953,4030
401,3954,3958
402,3954,3960
403,3954,8294
404,3955,3979
405,3958,8295
406,3959,3961
407,3960,3963
408,3961,3965
409,3965,76655
410,3974,3977
411,3974,3988
412,3977,3979
413,3979,3981
414,3979,3986
415,3981,4034
416,3984,3986
417,3984,3998
418,3984,4034
419,3986,3992
420,3986,3996
421,3988,3992
422,3991,3993
423,3992,4048
424,3992,76655
425,3993,3995
426,3993,4003
427,3995,3999
428,3996,4002
429,3997,3999
430,3997,4001
431,3998,4000
432,4000,4017
433,4002,4014
434,4003,4016
435,4005,4006
436,4005,4007
437,4005,4013
438,4013,4016
439,4014,4027
440,4015,4016
441,4015,4020
442,4016,4022
443,4016,4024
444,4017,4025
445,4018,4026
446,4020,4024
447,4021,4037
448,4021,4040
449,4022,4030
450,4024,4028
451,4025,4037
452,4026,77556
453,4027,4035
454,4028,4034
455,4031,4048
456,4031,77556
457,4035,4039
458,4037,4039
459,4037,77556
460,4040,8327
461,4050,8324
462,4051,6264
463,4051,77555
464,4058,4060
465,4058,13557
466,4060,4078
467,4060,4083
468,95342,4060
469,4071,4072
470,4071,4267
471,4072,4075
472,4074,4088
473,4074,8134
474,4075,4076
475,4076,4078
476,4081,4215
477,4081,4282
478,4083,4104
479,4088,4104
480,4104,4106
481,4104,8136
482,4104,76684
483,4126,8503
484,4129,6689
485,4129,8268
486,4130,4131
487,4130,6689
488,4131,4132
489,4132,4134
490,4134,4141
491,4136,4137
492,4136,6550
493,4137,8165
494,4141,4147
495,4156,4182
496,4156,4573
497,4165,4167
498,4165,4172
499,4183,4188
500,4183,4198
501,4188,4198
502,4188,78605
503,4194,4196
504,4194,7746
505,4196,4197
506,4197,4198
507,4205,4209
508,4205,5499
509,4206,4210
510,4206,6554
511,4207,4272
512,76684,4210
513,4213,4215
514,76684,4213
515,4219,4220
516,4221,4223
517,76509,4223
518,4231,4232
519,4240,4243
520,4240,7435
521,4243,4245
522,76478,4243
523,4245,4252
524,4247,4249
525,4247,4250
526,76478,4249
527,4250,4254
528,4252,4312
529,4254,4316
530,4258,4259
531,4258,6540
532,4259,4261
533,4259,4262
534,4260,4261
535,4260,4262
536,4260,4267
537,4260,4268
538,4260,6543
539,4261,4262
540,4268,8134
541,4268,8164
542,4272,4274
543,4272,6376
544,4274,12280
545,4281,8111
546,76702,4281
547,4281,78955
548,4282,8129
549,76703,4282
550,4283,4312
551,4283,4344
552,4288,4289
553,4288,4344
554,4289,4315
555,4293,6720
556,76467,4293
557,4296,4346
558,76467,4296
559,76518,4296
560,4298,4346
561,4298,6721
562,76518,4298
563,4304,4306
564,4304,8190
565,4306,4320
566,4315,6717
567,4316,4335
568,4320,4350
569,4334,8178
570,4334,8181
571,4335,4344
572,4340,4357
573,76467,4346
574,76518,4346
575,4350,4356
576,76518,4356
577,76467,4357
578,4363,4581
579,4378,4379
580,4379,4381
581,4381,4496
582,4434,4445
583,4434,4590
584,4437,4441
585,4437,6314
586,4438,4441
587,4438,4442
588,4442,4588
589,76530,4442
590,4445,4447
591,4447,4448
592,4448,4453
593,76530,4450
594,4460,4461
595,4460,6304
596,4461,4468
597,4461,4553
598,76530,4464
599,4494,4496
600,4496,76735
601,4497,8495
602,4497,95339
603,4501,4508
604,76735,4501
605,4504,4506
606,76735,4504
607,4507,4535
608,4507,4541
609,76735,4507
610,4508,4581
611,4524,4526
612,4524,4535
613,4526,4527
614,4527,4570
615,4540,4541
616,4540,4561
617,4542,4560
618,76735,4542
619,4553,4555
620,4555,4557
621,4556,4557
622,4556,4642
623,4558,4559
624,4558,4561
625,4558,4653
626,4559,4560
627,4565,4579
628,4565,8503
629,4570,4571
630,4571,4573
631,4581,4588
632,76735,4588
633,76530,4590
634,4607,4601
635,4629,6413
636,4637,4638
637,4637,5706
638,4640,4648
639,4640,5693
640,4642,4643
641,4642,6665
642,4643,4644
643,4643,4653
644,4644,4645
645,4644,4646
646,4645,4647
647,4646,4649
648,4647,4648
649,4651,5480
650,4654,4662
651,4657,4659
652,76479,4657
653,4659,8212
654,4662,4665
655,76478,4662
656,76478,4665
657,4667,8167
658,4668,8167
659,76478,4668
660,4673,6401
661,4673,6701
662,4675,6413
663,4680,4681
664,4680,4687
665,4681,5715
666,4687,4688
667,4688,6360
668,4705,4714
669,4714,5475
670,4717,4721
671,4717,4729
672,4718,4776
673,4718,76779
674,4721,4723
675,4723,4745
676,4727,9563
677,4728,4775
678,4730,4766
679,4734,4741
680,4741,4806
681,4753,4829
682,76565,4753
683,4757,4834
684,4757,7442
685,4766,7453
686,4775,4776
687,4775,4786
688,4776,4781
689,4781,4782
690,4782,4793
691,4786,4787
692,4787,4791
693,4791,4792
694,4792,4795
695,4793,4894
696,4795,4903
697,4795,5086
698,76779,4795
699,4806,4809
700,4809,4811
701,4811,4813
702,4813,4815
703,4815,4829
704,76565,4815
705,4825,4829
706,4825,5141
707,4829,4831
708,4830,4834
709,4830,4846
710,4831,4832
711,4832,4833
712,4833,4835
713,4835,4871
714,4846,4853
715,4851,4853
716,4851,4946
717,4858,4867
718,4858,4882
719,4865,4902
720,4865,5186
721,4867,4869
722,4869,4871
723,4884,4888
724,4884,4988
725,4888,4974
726,4894,4895
727,4895,4897
728,4896,4902
729,4896,4974
730,4902,4910
731,4903,5120
732,4908,4910
733,4908,5470
734,4926,4929
735,4926,4951
736,4939,4941
737,4939,4979
738,4941,4943
739,4943,4945
740,4945,4949
741,4946,4952
742,4949,4951
743,4951,5044
744,4952,4957
745,4953,4956
746,4953,5132
747,4955,4959
748,4955,7444
749,4957,4959
750,4959,4965
751,4965,4971
752,4968,4976
753,4968,5037
754,4971,4973
755,4973,4977
756,4976,5005
757,4977,5006
758,4977,5012
759,4979,4999
760,4979,5132
761,4988,5316
762,4994,4995
763,4994,5321
764,4995,4998
765,4998,4999
766,5005,5009
767,5009,5013
768,5013,5354
769,5028,5060
770,5028,5366
771,5037,5039
772,5039,5040
773,5040,5042
774,5042,5050
775,5044,5130
776,5050,5075
777,5060,5066
778,5066,5093
779,5075,5077
780,5075,5087
781,5077,5079
782,5079,5083
783,5080,5086
784,5083,5103
785,5087,5099
786,5093,5095
787,5095,7102
788,5099,5101
789,5099,7090
790,5099,7096
791,5101,5103
792,5103,76862
793,5105,6091
794,5105,9563
795,5109,5125
796,5120,5126
797,5125,5126
798,5126,5131
799,5130,5134
800,5131,5137
801,5131,5341
802,5132,5134
803,5134,5157
804,76862,5134
805,5137,5141
806,5140,5159
807,5140,5208
808,76862,5140
809,5148,5173
810,5149,5154
811,5149,5316
812,5157,5164
813,5157,5169
814,5159,5162
815,5159,5164
816,5162,5199
817,5164,5190
818,5164,5199
819,5169,5171
820,5171,5175
821,5173,5175
822,5180,5184
823,5180,5470
824,5184,5186
825,5199,5201
826,5199,5203
827,5201,5215
828,5203,5212
829,5207,5209
830,5208,5210
831,5209,5271
832,5210,5215
833,5212,5215
834,5215,6735
835,5215,77042
836,5269,5273
837,5269,5384
838,5271,5273
