Bus
Number,Name,Area Name,Latitude,Longitude,Status,# Neighbors (in service only),Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MVA,Load MW,Load Mvar,Gen MW,Gen Mvar,Gen Min MW,Gen Max MW,Gen Min Mvar,Gen Max Mvar,Switched Shunts Mvar,Switched Shunts Nom Mvar,Max Mvar,Min Mvar,Area Num,Zone Num
123,J C McNeil,Vermont,44.492,-73.208,Connected,1,138.00,0.99773,137.686,-46.52,,,,,,,,,,,,,,35,1
187,9001043100,Connecticut,41.110,-73.457,Connected,1,138.00,0.99500,137.310,-124.63,,,,,,,,,,,,,,3,1
239,9001071000,Connecticut,41.172,-73.218,Connected,1,230.00,1.00859,231.975,-115.05,,,,,,,,,,,,,,3,1
338,9001245500,Connecticut,41.275,-73.516,Connected,1,138.00,0.95884,132.319,-122.26,,,,,,,,,,,,,,3,1
845,9011690300,Connecticut,41.293, -72.925,Connected,1,138.00,0.98595,136.062,-118.53,,,,,,,,,,,,,,3,1
1380,25003913100,Massachusetts,42.372,-73.276,Connected,1,138.00,0.98360,135.736,-112.33,,,,,,,,,,,,,,16,1
1761,25013810602,Massachusetts,42.173,-72.538,Connected,1,230.00,1.02976,236.844,-107.89,,,,,,,,,,,,,,16,1
3338,50003971200,Vermont,42.884,-73.193,Connected,1,138.00,0.99803,137.728,-108.80,,,,,,,,,,,,,,35,1
3362,50007002200,Vermont,44.546,-73.154,Connected,2,345.00,1.03787,358.064,-28.29,,,,,,,,,,,,,,35,1
3433,50021962700,Vermont,43.620,-73.017,Connected,1,345.00,1.03421,356.801,-104.81,,,,,,,,,,,,,,35,1
3502,Indian Point 2,New York,41.270,-73.950,Connected,3,345.00,1.02000,351.900,-115.00,0.00,0.00,0.00,1138.53,391.90,0.00,1299.00,-433.00,974.30,,,,,24,1
3503,Indian Point 3,New York,41.271,-73.953,Connected,3,345.00,1.02000,351.900,-115.00,0.00,0.00,0.00,1012.00,346.00,0.00,1012.00,-337.30,759.00,,,,,24,1
