10 10 20
0 0 15 14.3
0 1 4 0.0
0 2 3 0.0
0 2 8 0.0
0 2 9 0.0
0 2 11 0.0
0 2 12 0.0
0 2 13 0.0
0 2 19 0.0
0 3 1 0.0
0 3 7 0.0
0 3 10 0.0
0 4 14 0.0
0 5 14 0.0
0 6 2 0.0
0 7 1 0.0
0 7 7 0.0
0 7 10 0.0
0 8 15 0.0
0 9 3 0.0
0 9 8 0.0
0 9 9 0.0
0 9 11 0.0
0 9 12 0.0
0 9 13 0.0
0 9 19 0.0
1 0 15 87.94
1 1 4 0.0
1 2 3 0.0
1 2 8 0.0
1 2 9 0.0
1 2 11 0.0
1 2 12 0.0
1 2 13 0.0
1 2 19 0.0
1 3 1 0.0
1 3 7 0.0
1 3 10 0.0
1 4 14 0.0
1 5 14 0.0
1 6 2 0.0
1 7 1 0.0
1 7 7 0.0
1 7 10 0.0
1 8 15 0.0
1 9 3 0.0
1 9 8 0.0
1 9 9 0.0
1 9 11 0.0
1 9 12 0.0
1 9 13 0.0
1 9 19 0.0
2 0 15 61.2
2 1 4 0.0
2 2 3 0.0
2 2 8 0.0
2 2 9 0.0
2 2 11 0.0
2 2 12 0.0
2 2 13 0.0
2 2 19 0.0
2 3 1 0.0
2 3 7 0.0
2 3 10 0.0
2 4 14 0.0
2 5 14 0.0
2 6 2 0.0
2 7 1 0.0
2 7 7 0.0
2 7 10 0.0
2 8 15 0.0
2 9 3 0.0
2 9 8 0.0
2 9 9 0.0
2 9 11 0.0
2 9 12 0.0
2 9 13 0.0
2 9 19 0.0
3 0 15 16.16
3 1 4 0.0
3 2 3 0.0
3 2 8 0.0
3 2 9 0.0
3 2 11 0.0
3 2 12 0.0
3 2 13 0.0
3 2 19 0.0
3 3 1 0.0
3 3 7 0.0
3 3 10 0.0
3 4 14 0.0
3 5 14 0.0
3 6 2 0.0
3 7 1 0.0
3 7 7 0.0
3 7 10 0.0
3 8 15 0.0
3 9 3 0.0
3 9 8 0.0
3 9 9 0.0
3 9 11 0.0
3 9 12 0.0
3 9 13 0.0
3 9 19 0.0
4 0 15 0.0
4 1 4 0.0
4 2 3 0.0
4 2 8 0.0
4 2 9 0.0
4 2 11 0.0
4 2 12 0.0
4 2 13 0.0
4 2 19 52.34
4 3 1 0.0
4 3 7 0.0
4 3 10 0.0
4 4 14 0.0
4 5 14 0.0
4 6 2 0.0
4 7 1 0.0
4 7 7 0.0
4 7 10 0.0
4 8 15 0.0
4 9 3 0.0
4 9 8 0.0
4 9 9 0.0
4 9 11 0.0
4 9 12 0.0
4 9 13 0.0
4 9 19 0.0
5 0 15 92.8
5 1 4 0.0
5 2 3 0.0
5 2 8 0.0
5 2 9 0.0
5 2 11 0.0
5 2 12 0.0
5 2 13 0.0
5 2 19 0.0
5 3 1 0.0
5 3 7 0.0
5 3 10 0.0
5 4 14 0.0
5 5 14 0.0
5 6 2 0.0
5 7 1 0.0
5 7 7 0.0
5 7 10 0.0
5 8 15 0.0
5 9 3 0.0
5 9 8 0.0
5 9 9 0.0
5 9 11 0.0
5 9 12 0.0
5 9 13 0.0
5 9 19 0.0
6 0 15 0.0
6 1 4 0.0
6 2 3 0.0
6 2 8 0.0
6 2 9 0.0
6 2 11 0.0
6 2 12 0.0
6 2 13 0.0
6 2 19 12.65
6 3 1 0.0
6 3 7 0.0
6 3 10 0.0
6 4 14 0.0
6 5 14 0.0
6 6 2 0.0
6 7 1 0.0
6 7 7 0.0
6 7 10 0.0
6 8 15 0.0
6 9 3 0.0
6 9 8 0.0
6 9 9 0.0
6 9 11 0.0
6 9 12 0.0
6 9 13 0.0
6 9 19 34.25
7 0 15 2.86
7 1 4 0.0
7 2 3 0.0
7 2 8 0.0
7 2 9 0.0
7 2 11 0.0
7 2 12 0.0
7 2 13 0.0
7 2 19 0.0
7 3 1 0.0
7 3 7 0.0
7 3 10 0.0
7 4 14 0.0
7 5 14 0.0
7 6 2 0.0
7 7 1 0.0
7 7 7 0.0
7 7 10 0.0
7 8 15 0.0
7 9 3 0.0
7 9 8 0.0
7 9 9 0.0
7 9 11 0.0
7 9 12 0.0
7 9 13 0.0
7 9 19 0.0
8 0 15 26.6
8 1 4 0.0
8 2 3 0.0
8 2 8 0.0
8 2 9 0.0
8 2 11 0.0
8 2 12 0.0
8 2 13 0.0
8 2 19 0.0
8 3 1 0.0
8 3 7 0.0
8 3 10 0.0
8 4 14 0.0
8 5 14 0.0
8 6 2 0.0
8 7 1 0.0
8 7 7 0.0
8 7 10 0.0
8 8 15 0.0
8 9 3 0.0
8 9 8 0.0
8 9 9 0.0
8 9 11 0.0
8 9 12 0.0
8 9 13 0.0
8 9 19 0.0
9 0 15 62.2
9 1 4 0.0
9 2 3 0.0
9 2 8 0.0
9 2 9 0.0
9 2 11 0.0
9 2 12 0.0
9 2 13 0.0
9 2 19 0.0
9 3 1 0.0
9 3 7 0.0
9 3 10 0.0
9 4 14 0.0
9 5 14 0.0
9 6 2 0.0
9 7 1 0.0
9 7 7 0.0
9 7 10 0.0
9 8 15 0.0
9 9 3 0.0
9 9 8 0.0
9 9 9 0.0
9 9 11 0.0
9 9 12 0.0
9 9 13 0.0
9 9 19 0.0
END
